title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable aerosol.conccn.tpt-u-hxys-u.3hr.GLB (E3hrPt.conccn),691,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/691,3hr aerosol,conccn_tpt-u-hxys-u,number_concentration_of_ambient_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"The variable represents the instantaneous Aerosol Number Concentration at CF sites, sampled every 3 hours",site time1,3hr,Sub-daily Aerosol Number Concentration at CF sites,aerosol,,,GLB,m-3,New,,,,,,
Variable aerosol.rluscsaf.tavg-u-hxy-u.mon.GLB (AERmon.rluscsaf),390,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/390,mon aerosol approved,rluscsaf_tavg-u-hxy-u,surface_upwelling_longwave_flux_in_air_assuming_clear_sky_and_no_aerosol,Not present,area: areacella,area: time: mean,Flux corresponding to rluscs resulting from an aerosol-free call to radiation,longitude latitude time,mon,"Surface Upwelling Clear-Sky, Aerosol-Free Longwave Radiation",aerosol,up,,GLB,W m-2,New,"remove_altitude_coords(m01s02i519[lblev=1, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]","remove_altitude_coords(m01s02i519[lblev=1, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]","remove_altitude_coords(m01s02i519[lblev=1, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]","remove_altitude_coords(m01s02i519[lblev=1, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]",,W m-2
Variable aerosol.hfc134a.tavg-al-hxy-u.mon.GLB (AERmon.hfc134a),338,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/338,mon aerosol do-not-produce,hfc134a_tavg-al-hxy-u,mole_fraction_of_hfc134a_in_air,Not present,area: areacella,area: time: mean,This is the mole fraction of HFC134a in air,longitude latitude alevel time,mon,Mole Fraction of HFC134a,aerosol,,,GLB,mol mol-1,New,,,,,,
Variable aerosol.hfc125.tavg-al-hxy-u.mon.GLB (AERmon.hfc125),337,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/337,mon aerosol do-not-produce,hfc125_tavg-al-hxy-u,mole_fraction_of_hfc125_in_air,Not present,area: areacella,area: time: mean,This is the mole fraction of HFC125 in air,longitude latitude alevel time,mon,Mole Fraction of HFC125,aerosol,,,GLB,mol mol-1,New,,,,,,
Variable aerosol.hcfc22.tavg-al-hxy-u.mon.GLB (AERmon.hcfc22),334,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/334,mon aerosol do-not-produce,hcfc22_tavg-al-hxy-u,mole_fraction_of_hcfc22_in_air,Not present,area: areacella,area: time: mean,This is the mole fraction of HCFC22 in air,longitude latitude alevel time,mon,Mole Fraction of HCFC22,aerosol,,,GLB,mol mol-1,New,,,,,,
Variable aerosol.emibbvoc.tavg-u-hxy-u.mon.GLB (AERmon.emibbvoc),305,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/305,mon aerosol do-not-produce,emibbvoc_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_nmvoc_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of non-methane volatile organic compounds (NMVOCs) from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission rate of NMVOC from all biomass burning,aerosol,,,GLB,kg m-2 s-1,New,,,,,,
Variable aerosol.emibbso2.tavg-u-hxy-u.mon.GLB (AERmon.emibbso2),304,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/304,mon aerosol do-not-produce,emibbso2_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of SO2 into the atmosphere from all biomass burning (natural and anthropogenic).,longitude latitude time,mon,total emission rate of SO2 from all biomass burning,aerosol,,,GLB,kg m-2 s-1,New,,,,,,
Variable aerosol.emibboa.tavg-u-hxy-u.mon.GLB (AERmon.emibboa),303,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/303,mon aerosol do-not-produce,emibboa_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of particulate organic matter (organic aerosol) into the atmosphere from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission of organic aerosol from all biomass burning,aerosol,,,GLB,kg m-2 s-1,New,,,,,,
Variable aerosol.emibbnox.tavg-u-hxy-u.mon.GLB (AERmon.emibbnox),302,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/302,mon aerosol do-not-produce,emibbnox_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of nitrogen oxides (NOx) from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission rate of NOx from all biomass burning,aerosol,,,GLB,kg m-2 s-1,New,,,,,,
Variable aerosol.emibbnh3.tavg-u-hxy-u.mon.GLB (AERmon.emibbnh3),301,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/301,mon aerosol do-not-produce,emibbnh3_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of ammonia (NH3) into the atmosphere from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission rate of NH3 from all biomass burning,aerosol,,,GLB,kg m-2 s-1,New,,,,,,
