Model,Branded variable name,Frequency,STASH,Section,Item,time_profile,domain_profile,usage_profile,approved
HadGEM3-GC5,ua_tavg-p19-hxy-air,day,m01s30i201,30,201,PLEV19,UP6,True
HadGEM3-GC5,ua_tavg-p19-hxy-air,day,m01s30i301,30,301,PLEV19,UP6,True
UKESM1,tas_tmin-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
UKESM1-3,tas_tmin-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
HadGEM3-GC31,tas_tmin-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
HadGEM3-GC5,tas_tmin-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
UKESM1,tas_tmax-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
UKESM1-3,tas_tmax-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
HadGEM3-GC31,tas_tmax-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
HadGEM3-GC5,tas_tmax-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
UKESM1,tas_tavg-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
UKESM1-3,tas_tavg-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
HadGEM3-GC31,tas_tavg-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
HadGEM3-GC5,tas_tavg-h2m-hxy-u,day,m01s03i236,3,236,DIAG,UP6,True
UKESM1,ta_tavg-p19-hxy-air,day,m01s30i294,30,294,PLEV8,UP6,True
UKESM1,ta_tavg-p19-hxy-air,day,m01s30i304,30,304,PLEV8,UP6,True
HadGEM3-GC31,ta_tavg-p19-hxy-air,day,m01s30i294,30,294,PLEV8,UP6,True
HadGEM3-GC31,ta_tavg-p19-hxy-air,day,m01s30i304,30,304,PLEV8,UP6,True
HadGEM3-GC31,ta_tavg-p19-hxy-air,day,m01s30i294,30,294,PLEV19,UP6,True
HadGEM3-GC31,ta_tavg-p19-hxy-air,day,m01s30i304,30,304,PLEV19,UP6,True
UKESM1-3,ta_tavg-p19-hxy-air,day,m01s30i294,30,294,PLEV19,UP6,True
UKESM1-3,ta_tavg-p19-hxy-air,day,m01s30i304,30,304,PLEV19,UP6,True
UKESM1,snw_tavg-u-hxy-lnd,day,m01s03i317,3,317,DTILE,UP6,False
UKESM1,snw_tavg-u-hxy-lnd,day,m01s08i236,8,236,DTILE,UP6,False
