title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM 1-3,Expression UKESM1,Expression UKESM1-3,HadGEM3-GC31,HadGEM3-GC5,Model units,UKESM1,UKESM1-3
Variable land.rsus.tavg-u-hxy-ufs.mon.GLB (Emon.rsuslni),1010,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1010,mon land,rsus_tavg-u-hxy-ufs,surface_upwelling_shortwave_flux_in_air,Not present,area: areacella,"area: time: mean where unfrozen_soil (at the surface, but frozen below zero isotherm)",Surface Upwelling Shortwave Radiation over the portion of a land grid cell not covered by ice sheets or snow. Can be used for computation of surface albedo.,longitude latitude time,mon,Surface Upwelling Shortwave Radiation over Land Not Covered by Ice Sheets or Snow,land,up,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsus.",GLB,W m-2,New,,,,,,,,,,
Variable land.rsds.tavg-u-hxy-sn.mon.GLB (Emon.rsdss),1006,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1006,mon land,rsds_tavg-u-hxy-sn,surface_downwelling_shortwave_flux_in_air,Not present,area: areacella area: areacello,area: time: mean where snow (mask=snc),Surface Downwelling Shortwave Radiation over the portion of a land grid cell covered by snow but not by ice. Can be used for computation of surface albedo.,longitude latitude time,mon,Surface Downwelling Shortwave Radiation over Snow,land,down,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsds",GLB,W m-2,New,,,,,,,,,,
Variable land.rsds.tavg-u-hxy-ufs.mon.GLB (Emon.rsdslni),1004,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1004,mon land,rsds_tavg-u-hxy-ufs,surface_downwelling_shortwave_flux_in_air,Not present,area: areacella,"area: time: mean where unfrozen_soil (at the surface, but frozen below zero isotherm)",Surface Downwelling Shortwave Radiation over the portion of a land grid cell not covered by ice sheets or snow. Can be used for computation of surface albedo.,longitude latitude time,mon,Surface Downwelling Shortwave Radiation over Land Not Covered by Ice Sheets or Snow,land,down,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsds.",GLB,W m-2,New,,,,,,,,,,
Variable land.cnc.tavg-u-hxy-u.mon.GLB (Emon.cnc),870,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/870,mon land,cnc_tavg-u-hxy-u,vegetation_area_fraction,Not present,area: areacella,area: mean where land time: mean,Canopy covered fraction,longitude latitude time,mon,Canopy Covered Area Percentage,land,,,GLB,%,New,,,,,,,,,,
Variable land.albsrfc.tavg-u-hxy-sn.mon.GLB (Emon.albsn),834,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/834,mon land,albsrfc_tavg-u-hxy-sn,surface_albedo,Not present,area: areacella area: areacello,area: time: mean where snow (mask=snc),"This is similar to Eday.albsn, but providing monthly averages",longitude latitude time,mon,Snow Albedo,land,,,GLB,1,New,,,,,,,,,,
Variable land.albc.tavg-u-hxy-veg.mon.GLB (Emon.albc),833,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/833,mon land do-not-produce,albc_tavg-u-hxy-veg,canopy_albedo,Not present,area: areacella,area: mean where land time: mean,Canopy Albedo,longitude latitude time,mon,Canopy Albedo,land,,,GLB,1,New,,,,,,,,,,
Variable land.rhVgt.tavg-u-hxy-multi.day.GLB (Eday.rhVgt),772,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/772,day land do-not-produce,rhVgt_tavg-u-hxy-multi,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,Not present,area: areacella,area: time: mean where sector,"Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers), calculated on vegetation type.",longitude latitude vegtype time,day,Heterotrophic Respiration on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],land,,,GLB,kg m-2 s-1,New,,,,,,,,,,
Variable land.raVgt.tavg-u-hxy-multi.day.GLB (Eday.raVgt),769,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/769,day land,raVgt_tavg-u-hxy-multi,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,Not present,area: areacella,area: time: mean where sector,Carbon mass flux per unit area into atmosphere due to autotrophic respiration on land (respiration by producers) [see rh for heterotrophic production]. Calculated on vegetation type.,longitude latitude vegtype time,day,Autotrophic Respiration on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],land,,,GLB,kg m-2 s-1,New,,,,,,,,,,
Variable land.nppVgt.tavg-u-hxy-multi.day.GLB (Eday.nppVgt),758,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/758,day land,nppVgt_tavg-u-hxy-multi,net_primary_productivity_of_biomass_expressed_as_carbon,Not present,area: areacella,area: time: mean where sector,"""Production of carbon"" means the production of biomass expressed as the mass of carbon which it contains. Net primary production is the excess of gross primary production (rate of synthesis of biomass from inorganic precursors) by autotrophs (""producers""), for example, photosynthesis in plants or phytoplankton, over the rate at which the autotrophs themselves respire some of this biomass. ""Productivity"" means production per unit area. The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A.",longitude latitude vegtype time,day,Net Primary Production on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],land,,,GLB,kg m-2 s-1,New,,,,,,,,,,
Variable land.laiVgt.tavg-u-hxy-multi.day.GLB (Eday.laiVgt),737,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/737,day land,laiVgt_tavg-u-hxy-multi,leaf_area_index,Not present,area: areacella,area: time: mean where sector,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.,longitude latitude vegtype time,day,Leaf Area Index on Vegetation type,land,,,GLB,1,New,,,,,,,,,,
