title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable ocnBgchem.intpp.tavg-u-hxy-sea.day.glb (Oday.intpp),1321,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1321,day ocnBgchem approved_UKESM,intpp_tavg-u-hxy-sea,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton,Not present,area: areacello,area: mean where sea depth: sum where sea (over entire ocean column) time: mean,"Vertically integrated total primary (organic carbon) production by phytoplankton. This should equal the sum of intpdiat+intpphymisc, but those individual components may be unavailable in some models.",longitude latitude time,day,Primary Organic Carbon Production by All Types of Phytoplankton,ocnBgchem,,,glb,mol m-2 s-1,New,,,(PRN + PRD) * C_TO_N_RATIO,(PRN + PRD) * C_TO_N_RATIO,,mmol m-2 d-1
Variable ocnBgchem.intpoc.tavg-u-hxy-sea.day.glb (Oday.intpoc),1320,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1320,day ocnBgchem approved_UKESM,intpoc_tavg-u-hxy-sea,ocean_mass_content_of_particulate_organic_matter_expressed_as_carbon,Not present,area: areacello,area: mean where sea depth: sum where sea (over entire ocean column) time: mean,Vertically integrated POC,longitude latitude time,day,Particulate Organic Carbon Content,ocnBgchem,,,glb,kg m-2,New,,,(((INT_PN + INT_PD) * C_TO_N_RATIO) + ((INT_ZMI + INT_ZME) * C_TO_N_RATIO_ZOO) + INT_DTC),(((INT_PN + INT_PD) * C_TO_N_RATIO) + ((INT_ZMI + INT_ZME) * C_TO_N_RATIO_ZOO) + INT_DTC),,mmol m-2
Variable ocnBgchem.expcob.tavg-u-hxy-sea.day.glb (Oday.expcob),1317,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1317,day ocnBgchem approved_UKESM,expcob_tavg-u-hxy-sea,sinking_mole_flux_at_sea_floor_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Downward sinking flux of particulate organic carbon at sea floor. Reported at the sea floor depth for present day relative to z=0 geoid. Reported as missing for land grid cells.,longitude latitude time,day,Sinking Flux of Particulate Organic Carbon Reaching the Ocean Bottom,ocnBgchem,down,Variable value should be reported as the flux exiting the bottom of the deepest ocean layer,glb,mol m-2 s-1,New,,,IBEN_C,IBEN_C,,mmol m-2 d-1
Variable ocnBgchem.dissoc.tavg-ol-hxy-sea.day.glb (Oday.dissoc),1316,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1316,day ocnBgchem do-not-produce,dissoc_tavg-ol-hxy-sea,mole_concentration_of_dissolved_organic_carbon_in_sea_water,Not present,area: areacello volume: volcello,area: mean where sea time: mean,Sum of dissolved carbon component concentrations explicitly represented (i.e. not ~40 uM refractory unless explicit),longitude latitude olevel time,day,Dissolved Organic Carbon Concentration,ocnBgchem,,,glb,mol m-3,New,,,,,,
Variable ocnBgchem.detoc.tavg-ol-hxy-sea.day.glb (Oday.detoc),1315,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1315,day ocnBgchem approved_UKESM,detoc_tavg-ol-hxy-sea,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,Not present,area: areacello volume: volcello,area: mean where sea time: mean,sum of detrital organic carbon component concentrations,longitude latitude olevel time,day,Detrital Organic Carbon Concentration,ocnBgchem,,,glb,mol m-3,New,,,DTC_E3T / thkcello,DTC_E3T / thkcello,,mmol m-3
Variable ocnBgchem.co3satarag.tavg-ols-hxy-sea.day.glb (Oday.co3sataragos),1314,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1314,question day ocnBgchem approved_UKESM,co3satarag_tavg-ols-hxy-sea,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.,longitude latitude time osurf,day,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,ocnBgchem,,,glb,mol m-3,New,,,CO33[depth=0] / CO3SATARAG3[depth=0],CO33[depth=0] / CO3SATARAG3[depth=0],,1
Variable ocnBgchem.co3satarag.tavg-op20bar-hxy-sea.day.glb (Oday.co3satarag200),1313,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1313,day ocnBgchem approved_UKESM,co3satarag_tavg-op20bar-hxy-sea,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.,longitude latitude time op20bar,day,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,ocnBgchem,,The variable at the depth of 200 meters is requested.,glb,mol m-3,New,,,CO33[depth=30] / CO3SATARAG3[depth=30],CO33[depth=30] / CO3SATARAG3[depth=30],,1
Variable ocnBgchem.co3.tavg-ols-hxy-sea.day.glb (Oday.co3os),1312,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1312,day ocnBgchem approved_UKESM,co3_tavg-ols-hxy-sea,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).,longitude latitude time osurf,day,Surface Carbonate Ion Concentration,ocnBgchem,,,glb,mol m-3,New,,,CO33[depth=0],CO33[depth=0],,mmol m-3
Variable ocnBgchem.co3.tavg-op20bar-hxy-sea.day.glb (Oday.co3200),1311,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1311,day ocnBgchem approved_UKESM,co3_tavg-op20bar-hxy-sea,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).,longitude latitude time op20bar,day,Carbonate Ion Concentration,ocnBgchem,,The variable at the depth of 200 meters is requested.,glb,mol m-3,New,,,CO33[depth=30],CO33[depth=30],,mmol m-3
Variable ocnBgchem.chl.tavg-op20bar-hxy-sea.day.glb (Oday.chl200),1309,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1309,day ocnBgchem approved_UKESM,chl_tavg-op20bar-hxy-sea,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,"Sum of chlorophyll from all phytoplankton group concentrations. In most models this is equal to chldiat+chlmisc, that is the sum of Diatom Chlorophyll Mass Concentration and Other Phytoplankton Chlorophyll Mass Concentration",longitude latitude time op20bar,day,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water at 200 meters,ocnBgchem,,The variable at the depth of 200 meters is requested.,glb,kg m-3,New,,,(CHN_E3T[depth=30] + CHD_E3T[depth=30]) / thkcello[depth=30],(CHN_E3T[depth=30] + CHD_E3T[depth=30]) / thkcello[depth=30],,mg m-3
